,Channel,Year,Degree,Level,Nationality,Career,Crypto type,Crypto usage,Crypto knowledge,Duration,Trade performance,Remittance amount,Crypto knowledge source,Influenced family and friends,Intend to use crypto in future
26,f2f,2021,STEM,1st,ME,Finance,ETH,trade,+,1,++,,friends,N,N
27,online,2025,Humanities,3rd,Turkey,Public,"BTC,ALT","remittance,trans",+++,1,,75,marketing,Y,N
28,online,2024,Humanities,1st,Africa,Finance,ETH,remittance,++,11-3,,25,family,Y,Y
29,online,2024,Humanities,Phd,India,Medical,ALT,"remittance,trans",+++,1,,75,study/research,Y,Y
30,online,2023,STEM,MSc,Turkey,Medical,DOGE,"trade,remittance",,5+,-,,family,N,Y
31,f2f,2020,Business,3rd,South America,Medical,"BTC,ETH",remittance,+++,1-3,,25,study/research,N,N
32,online,2023,Business,1st,Europe,Medical,ALT,"remittance,trans",+++,4-5,,100,friends,Y,Y
33,online,2025,Business,3rd,USA,Finance,"BTC,ALT","remittance,trans",+++,4-5,,25,study/research,Y,Y
34,online,2025,Humanities,MSc,USA,Finance,"BTC,ALT","remittance,trans",+++,11,,25,study/research,Y,Y
35,online,2020,Business,3rd,South America,Finance,"ETH,NFT,ALT","remittance,trans",++,4-5,,50,study/research,Y,Y
36,online,2023,Business,MSc,Turkey,Public,"BTC,ALT","remittance,trans",++,5+,,50,friends,Y,Y
37,online,2021,Business,MSc,China,Medical,BTC,"trade,remittance",+++,,++,,marketing,Y,N
38,f2f,2023,STEM,MSc,Europe,Finance,"BTC,NFT",trade,++,1-3,+++,,study/research,Y,N
39,f2f,2020,Business,1st,India,Public,"BTC,ALT","remittance,trans",++,1,,50,study/research,Y,Y
40,online,2024,Business,PhD,USA,Engineering,BTC,"trade,remittance,trans",+++,1-3,+++,,study/research,Y,N
41,f2f,2021,STEM,MSc,India,Finance,BTC,"trade,remittance",++,5+,++,25,family,Y,Y
42,f2f,2022,STEM,2nd,India,,BTC,remittance,++,4-5,,75,friends,Y,Y
43,f2f,2023,Humanities,2nd,South America,Finance,"ETH,ALT",remittance,++,1-3,,25,friends,N,N
44,f2f,2021,STEM,MSc,UK,Finance,BTC,trade,+++,1,+++,,study/research,Y,Y
45,online,2023,Humanities,3rd,Turkey,,ALT,"remittance,trans",+++,5+,,50,study/research,Y,Y
46,online,2024,Humanities,MSc,South America,Medical,,trade,+,1,--,,friends,N,Y
47,online,2021,STEM,1st,Europe,Medical,BTC,trade,+,1,--,,study/research,N,N
48,online,2024,Humanities,MSc,Turkey,Technology,"BTC,ALT",remittance,+++,1-3,,100,marketing,Y,N
49,f2f,2022,STEM,PhD,China,Finance,"BTC,ETH","trade,remittance",+++,4-5,,25,friends,Y,Y
50,f2f,2023,STEM,MSc,South America,Finance,"BTC,ALT","remittance,trans",+++,4-5,,100,friends,Y,Y
51,online,2020,Humanities,2nd,Turkey,,,remittance,+,1-31-3,,100,marketing,Y,N
52,f2f,2020,STEM,2nd,Europe,Finance,"ETH,ALT",trade,+,1,+,,marketing,Y,N
53,f2f,2021,STEM,PhD,ME,Technology,BTC,trade,+++,5+,+,,friends,Y,Y
54,online,2022,STEM,3rd,Africa,Medical,ETH,remittance,++,1-3,,25,family,Y,N
55,online,2020,STEM,2nd,ME,Technology,NFT,trade,+++,1,,,friends,Y,N
56,f2f,2021,Business,3rd,USA,Finance,"BTC,ETH",remittance,++,5+,,25,marketing,N,Y
57,f2f,2023,Business,MSc,ME,Medical,"BTC,DOGE",remittance,++,1-3,,75,study/research,Y,Y
58,online,2023,STEM,PhD,ME,Engineering,"BTC,NFT","trade,remittance",+++,1-3,++,50,study/research,Y,N
59,f2f,2020,STEM,3rd,Europe,Finance,"ETH,DOGE",trade,+++,1-3,,,study/research,N,N
60,online,2020,STEM,3rd,UK,Finance,"BTC,ETH",trade,+++,,-,,friends,N,Y
61,online,2023,STEM,PhD,Turkey,Technology,DOGE,"trade,remittance",+++,,--,25,marketing,Y,Y
62,online,2024,STEM,3rd,Turkey,Engineering,"ETH,ALT",remittance,+++,1-3,,25,friends,Y,N
63,online,2021,Business,2nd,Europe,Retail,"NFT,ALT",trade,+++,4-5,--,,marketing,Y,Y
64,online,2020,STEM,2nd,Turkey,Technology,"BTC,ALT",remittance,+++,,,25,marketing,Y,Y
65,online,2020,Business,3rd,USA,Finance,BTC,remittance,+++,1-3,,25,marketing,Y,N
66,f2f,2020,STEM,MSc,Europe,Engineering,BTC,trade,++,1-3,--,,study/research,N,N
67,online,2024,Humanities,MSc,Turkey,Retail,ALT,"remittance,trans",++,5+,,100,friends,Y,N
68,online,2023,STEM,MSc,China,Technology,BTC,"trade,remittance",+++,4-5,+,50,family,Y,N
69,online,2022,Business,MSc,China,Engineering,"BTC,ETH",remittance,+++,11-3,,50,friends,Y,Y
70,online,2022,Humanities,1st,China,Medical,ETH,remittance,+,1,,75,friends,N,N
71,f2f,2021,Business,2nd,Africa,Retail,NFT,trade,++,1-3,--,,marketing,Y,N
72,online,2023,Business,Phd,USA,Finance,"BTC,ALT","remittance,trans",++,1,,100,study/research,Y,Y
73,online,2022,Business,PhD,China,Medical,BTC,remittance,+++,1,,25,study/research,Y,N
74,online,2021,STEM,2nd,Africa,,"BTC,ETH,NFT",trade,++,1,--,,friends,N,N
75,online,2022,Business,1st,Europe,Technology,,trade,+,1,+,,friends,N,N
76,online,2025,STEM,3rd,India,Finance,ALT,"remittance,trans",++,4-5,,75,study/research,N,Y
77,online,2020,STEM,PhD,Africa,Engineering,BTC,trade,+++,4-5,+++,,study/research,Y,Y
78,f2f,2022,Business,3rd,Turkey,Technology,"BTC,ETH,ALT",remittance,+++,1,,75,study/research,Y,N
79,online,2021,STEM,PhD,Turkey,Medical,BTC,"trade,remittance",+++,1,--,25,family,Y,N
80,f2f,2023,Business,MSc,USA,Engineering,BTC,"remittance,trans",+++,11,,25,study/research,Y,Y
81,online,2022,STEM,Phd,Turkey,Legal,"BTC,ALT",remittance,+++,5+,,100,family,N,N
82,f2f,2023,STEM,PhD,China,Medical,ETH,remittance,+++,4-5,,25,friends,Y,Y
83,online,2023,STEM,1st,Europe,Public,"BTC,DOGE",remittance,+++,1-31-3,,50,marketing,N,Y
84,online,2021,STEM,2nd,ME,,,trade,+,1-3,,,marketing,N,N
85,f2f,2021,STEM,3rd,USA,Finance,"BTC,ALT",remittance,+++,,,100,marketing,N,N
86,online,2023,Humanities,PhD,Turkey,Technology,ALT,"remittance,trans",+++,1,,75,family,N,N
87,online,2024,STEM,PhD,ME,Finance,"BTC,NFT,ALT",trade,++,1-3,++,,study/research,Y,N
88,online,2023,Humanities,2nd,Europe,,"BTC,ALT",remittance,+++,1-3,,25,marketing,N,Y
89,f2f,2025,Business,3rd,India,Technology,BTC,"remittance,trans",+++,11,,100,family,Y,N
90,online,2025,Humanities,3rd,USA,Technology,"ETH,ALT","remittance,trans",+++,4-5,,25,study/research,Y,Y
91,online,2024,STEM,Phd,Europe,Legal,"BTC,ALT","remittance,trans",++,5+,,75,friends,N,Y
92,online,2021,Humanities,3rd,Europe,Retail,"BTC,NFT,DOGE",trade,+++,1,,,marketing,Y,N
93,f2f,2023,Business,1st,Europe,Finance,"NFT,ALT","remittance,trans",+++,1,,50,family,Y,N
94,f2f,2022,Humanities,MSc,ME,Engineering,BTC,remittance,++,,,75,friends,Y,Y
95,f2f,2025,Humanities,MSc,Turkey,Public,ALT,"remittance,trans",+++,4-5,,25,marketing,Y,Y
96,online,2021,STEM,MSc,India,Technology,DOGE,"trade,remittance",++,5+,,75,study/research,N,Y
97,online,2021,Business,PhD,USA,Technology,"BTC,ETH","remittance,trans",++,4-5,,25,study/research,Y,Y
98,online,2024,STEM,2nd,ME,,"BTC,ETH",trade,++,1-3,-,,marketing,N,N
99,f2f,2024,STEM,PhD,UK,Finance,BTC,trade,+++,5+,+++,,study/research,Y,Y
100,online,2025,Business,3rd,USA,Retail,"BTC,ETH,ALT","remittance,trans",+++,1,,50,study/research,Y,N
101,online,2023,STEM,MSc,Africa,,"ETH,DOGE",trade,+,5+,--,,study/research,Y,Y
102,online,2021,STEM,MSc,China,Engineering,BTC,"trade,remittance",++,4-5,-,,study/research,N,Y
103,online,2025,Humanities,3rd,Turkey,Medical,"BTC,ALT","remittance,trans",++,1,,25,friends,Y,Y
104,online,2021,STEM,MSc,China,Retail,NFT,"trade,remittance",+++,5+,++,,family,N,Y
105,f2f,2020,STEM,3rd,Africa,Finance,BTC,remittance,+,,,50,friends,Y,Y
106,f2f,2021,STEM,3rd,Africa,Technology,NFT,trade,++,4-5,+++,,friends,Y,Y
107,f2f,2025,STEM,PhD,China,Finance,,"remittance,trans",+++,4-5,,50,study/research,Y,N
108,f2f,2022,Humanities,3rd,USA,Technology,"BTC,ALT",remittance,+,4-5,,25,marketing,Y,Y
109,f2f,2021,STEM,MSc,China,Retail,"BTC,NFT","trade,remittance",+++,1,+++,100,family,Y,Y
110,online,2020,STEM,PhD,China,Finance,"BTC,ETH,ALT",trade,+++,1,-,,study/research,Y,Y
111,online,2025,Humanities,1st,USA,Finance,BTC,"remittance,trans",+++,1,,25,family,N,Y
112,online,2023,STEM,MSc,USA,Medical,"BTC,ALT","remittance,trans",+++,5+,,50,family,Y,Y
113,f2f,2020,STEM,MSc,Africa,,"BTC,NFT,DOGE",trade,++,1,,,friends,Y,Y
114,f2f,2021,STEM,MSc,ME,Technology,BTC,"trade,remittance",+++,,+,25,marketing,Y,N
115,online,2022,STEM,MSc,ME,Engineering,ETH,remittance,+,1,,50,family,Y,Y
116,online,2020,Business,2nd,USA,Finance,BTC,remittance,+++,1-31-3,,25,friends,Y,Y
117,online,2021,Humanities,MSc,Africa,Retail,"BTC,ETH",trade,+++,4-5,-,,marketing,Y,N
118,f2f,2023,STEM,MSc,China,Engineering,"BTC,ETH",trade,++,4-5,,,study/research,Y,N
119,f2f,2022,STEM,2nd,ME,Medical,DOGE,trade,++,1-3,++,,family,Y,N
120,online,2022,STEM,PhD,South America,Medical,"BTC,ALT",remittance,+,4-5,,75,friends,Y,Y
121,online,2023,STEM,1st,Turkey,Technology,ETH,remittance,+++,1-3,,25,friends,Y,Y
122,online,2023,Business,MSc,China,Engineering,DOGE,"trade,remittance",,4-5,-,50,marketing,Y,N
123,online,2020,Business,3rd,USA,Legal,BTC,remittance,++,,,100,study/research,Y,Y
124,online,2020,Business,3rd,Turkey,Public,"BTC,NFT",remittance,+++,1-3,,25,marketing,N,N
125,online,2025,Business,3rd,South America,Finance,"BTC,ALT","remittance,trans",++,4-5,,50,marketing,Y,Y
126,online,2023,STEM,3rd,South America,Public,BTC,"remittance,trans",+++,,,50,study/research,Y,Y
127,f2f,2022,Business,3rd,USA,Finance,BTC,"remittance,trans",++,4-5,,25,friends,Y,Y
128,online,2025,STEM,3rd,USA,Medical,"NFT,ALT","remittance,trans",+++,1-3,,50,study/research,Y,Y
129,online,2020,Business,MSc,China,Finance,"BTC,ETH","trade,remittance",+++,1,+++,75,family,Y,N
130,f2f,2022,STEM,PhD,Turkey,Technology,BTC,"trade,remittance",+++,1-3,--,50,family,Y,Y
131,online,2024,Humanities,Phd,South America,Retail,"BTC,ALT",remittance,+++,,,100,marketing,N,N
132,f2f,2025,Business,Phd,USA,Finance,BTC,"remittance,trans",+++,1-3,,25,study/research,Y,Y
133,f2f,2023,STEM,2nd,Europe,Finance,ETH,trade,++,1,,,study/research,N,N
134,online,2024,Business,3rd,India,Engineering,"BTC,ETH","trade,remittance,trans",+++,1-3,++,,family,Y,Y
135,online,2022,STEM,PhD,China,Technology,BTC,"trade,remittance,trans",,4-5,,25,study/research,N,Y
136,online,2024,Humanities,PhD,Africa,Finance,"ETH,ALT",trade,++,4-5,++,,family,N,N
137,online,2021,STEM,3rd,China,Finance,ETH,trade,+++,5+,++,,study/research,Y,Y
138,online,2024,STEM,MSc,South America,Technology,BTC,"trade,remittance,trans",,4-5,++,25,family,Y,Y
139,online,2021,Humanities,1st,Africa,Retail,"BTC,NFT",trade,++,1,,,family,N,Y
140,f2f,2020,Business,2nd,USA,,"ETH,NFT,ALT",trade,++,1,--,,friends,Y,N
141,f2f,2021,STEM,MSc,Africa,Engineering,"BTC,ETH",trade,+++,,++,,study/research,Y,N
142,f2f,2021,Humanities,MSc,USA,Legal,"BTC,ALT",remittance,+++,1-3,,25,marketing,Y,Y
143,f2f,2020,STEM,PhD,South America,Technology,"BTC,NFT",remittance,++,1-31-3,,100,marketing,N,N
144,online,2020,Humanities,1st,USA,Retail,"BTC,ETH",trade,+,1,,,marketing,N,Y
145,online,2023,STEM,MSc,India,Technology,"BTC,NFT","trade,remittance",+++,1-3,--,25,family,Y,Y
146,online,2023,STEM,3rd,Turkey,Finance,BTC,remittance,++,1-3,,75,friends,N,N
147,online,2021,STEM,PhD,Turkey,Technology,BTC,"trade,remittance",++,,-,,family,N,Y
148,online,2020,STEM,PhD,Europe,,"NFT,ALT",remittance,+++,1-31-3,,50,marketing,Y,Y
149,f2f,2020,Business,PhD,USA,Technology,,remittance,++,,,25,study/research,N,Y
150,f2f,2023,STEM,MSc,Europe,Finance,"BTC,NFT,ALT",trade,+++,,+++,,study/research,Y,Y
151,online,2021,STEM,MSc,China,Finance,NFT,"trade,remittance",+++,1-3,+,,family,N,N
152,online,2024,STEM,PhD,China,Technology,NFT,"trade,remittance",+++,1,+,25,marketing,Y,Y
153,online,2023,Business,PhD,USA,Technology,,"trade,remittance,trans",,1-3,+,,marketing,Y,Y
154,f2f,2023,Business,PhD,USA,Technology,ETH,"remittance,trans",++,1,,50,friends,N,Y
155,online,2021,Business,PhD,India,Finance,NFT,"trade,remittance",+++,,,,friends,Y,N
156,f2f,2020,STEM,3rd,UK,Finance,ETH,trade,++,,+,,study/research,Y,Y
157,online,2020,STEM,PhD,Turkey,Engineering,ETH,"trade,remittance",+++,,+,100,friends,Y,Y
158,online,2024,Business,3rd,Turkey,Engineering,"BTC,NFT",trade,+++,1-3,,,study/research,Y,Y
159,online,2024,STEM,1st,India,Engineering,"BTC,ETH",remittance,+++,1,,75,family,Y,Y
160,online,2023,STEM,1st,Turkey,Technology,BTC,remittance,+++,1-3,,75,friends,Y,Y
161,f2f,2021,STEM,PhD,Europe,Public,"BTC,ETH",remittance,+++,1,,100,marketing,N,Y
162,f2f,2021,STEM,MSc,UK,Technology,"BTC,NFT,ALT",trade,+++,,+++,,friends,N,Y
163,f2f,2024,STEM,MSc,South America,Finance,"BTC,ALT",remittance,+,1-3,,75,marketing,N,Y
164,online,2021,STEM,1st,India,,"BTC,ETH",remittance,+,4-5,,25,friends,N,N
165,online,2020,STEM,2nd,India,Engineering,"BTC,ETH",remittance,+++,1-3,,50,study/research,Y,Y
166,online,2025,Business,MSc,USA,Retail,ALT,"remittance,trans",+++,1,,75,friends,Y,N
167,online,2022,Humanities,3rd,ME,Medical,ETH,remittance,++,4-5,,100,marketing,Y,N
168,online,2020,Humanities,3rd,USA,Finance,BTC,remittance,+++,1-3,,25,marketing,N,N
169,online,2023,Business,MSc,South America,Engineering,NFT,"trade,remittance,trans",++,1-3,-,50,study/research,Y,Y
170,online,2023,Business,PhD,China,Technology,NFT,"trade,remittance,trans",+++,4-5,+,100,friends,Y,Y
171,online,2021,STEM,MSc,China,Technology,BTC,"trade,remittance",+++,4-5,-,75,family,N,Y
172,online,2020,Business,3rd,USA,Legal,BTC,remittance,+,4-5,,25,friends,Y,Y
173,f2f,2024,Business,1st,Europe,Legal,"BTC,ALT",remittance,+,1-31-3,,100,marketing,Y,Y
174,online,2024,Humanities,Phd,China,Finance,"BTC,ALT","remittance,trans",+++,5+,,75,study/research,Y,Y
175,online,2025,STEM,Phd,USA,Technology,BTC,"remittance,trans",+++,5+,,50,study/research,Y,N
176,f2f,2020,Business,3rd,USA,Retail,"BTC,ALT",remittance,+++,1,,25,marketing,Y,Y
177,f2f,2024,Business,PhD,USA,,BTC,remittance,+++,5+,,25,marketing,Y,Y
178,f2f,2021,STEM,MSc,China,Finance,"BTC,ETH","trade,remittance,trans",,4-5,,25,friends,Y,Y
179,f2f,2020,Business,1st,Turkey,Legal,BTC,remittance,+++,1-3,,25,study/research,N,Y
180,f2f,2022,STEM,MSc,Europe,Technology,"BTC,ETH","trade,remittance",+++,1,,50,study/research,Y,Y
181,f2f,2024,STEM,PhD,China,Technology,BTC,"trade,remittance,trans",++,1-3,++,,marketing,Y,Y
182,f2f,2024,Business,3rd,India,Medical,ALT,"remittance,trans",++,5+,,50,study/research,N,N
183,online,2021,STEM,MSc,ME,Retail,BTC,"trade,remittance",+++,1-3,++,,marketing,N,Y
184,online,2024,STEM,MSc,South America,Technology,BTC,"trade,remittance,trans",++,4-5,++,,marketing,Y,Y
185,online,2024,STEM,MSc,Turkey,Medical,,"trade,remittance",+++,1-3,-,,family,Y,N
186,online,2024,Humanities,Phd,Turkey,Retail,"BTC,ALT",remittance,+,1-31-3,,25,family,Y,Y
187,f2f,2021,STEM,PhD,ME,Engineering,"ETH,DOGE",trade,+++,5+,+++,,study/research,N,Y
188,online,2024,Business,PhD,ME,Technology,"BTC,ETH","trade,remittance,trans",,4-5,+++,25,marketing,Y,Y
189,f2f,2024,STEM,3rd,Turkey,Engineering,ETH,remittance,++,4-5,,75,marketing,N,Y
190,online,2020,Business,PhD,USA,Finance,BTC,remittance,++,4-5,,25,study/research,N,N
191,online,2021,Business,MSc,China,Technology,BTC,"trade,remittance",,5+,--,,study/research,Y,Y
192,online,2024,STEM,PhD,Turkey,Retail,"BTC,ETH","trade,remittance",+++,5+,,50,family,Y,N
193,f2f,2021,STEM,PhD,ME,Finance,"BTC,NFT,ALT",trade,+++,,-,,friends,N,Y
194,f2f,2020,STEM,PhD,UK,Technology,NFT,trade,+++,1-3,+++,,study/research,Y,Y
195,f2f,2022,Business,1st,Turkey,Technology,BTC,remittance,++,1,,100,friends,Y,Y
196,online,2022,STEM,PhD,USA,Retail,BTC,"trade,remittance",+++,1,--,100,marketing,Y,Y
197,online,2021,Business,3rd,South America,Technology,"BTC,ETH","remittance,trans",++,1,,100,study/research,Y,N
198,f2f,2024,Business,PhD,China,Retail,ETH,"trade,remittance,trans",,1-3,,100,friends,Y,N
199,online,2024,STEM,PhD,China,Technology,BTC,"remittance,trans",+++,1,,75,study/research,Y,Y
200,online,2020,STEM,MSc,ME,,"BTC,ETH",trade,+,1,++,,study/research,N,Y
201,f2f,2021,Business,3rd,China,Finance,BTC,"remittance,trans",++,5+,,75,marketing,N,Y
202,online,2023,STEM,MSc,Europe,Finance,BTC,trade,++,4-5,++,,study/research,Y,N
203,f2f,2020,STEM,1st,USA,Retail,"NFT,ALT",trade,+,1,,,study/research,Y,N
204,f2f,2020,Business,PhD,USA,Technology,"BTC,ALT",remittance,+++,1-3,,100,marketing,N,Y
205,f2f,2023,Business,2nd,ME,Engineering,"BTC,ETH,ALT",remittance,+++,1,,50,study/research,Y,Y
206,online,2021,STEM,3rd,South America,Legal,"BTC,NFT",trade,+,1,-,,marketing,N,N
207,f2f,2021,STEM,MSc,Turkey,Engineering,BTC,"trade,remittance",+++,1,-,,family,Y,Y
208,online,2023,Business,PhD,South America,Engineering,BTC,"trade,remittance,trans",+++,1-3,++,25,family,N,Y
209,f2f,2022,STEM,1st,Turkey,Technology,"ETH,ALT",remittance,+++,1-3,,50,study/research,Y,Y
210,online,2021,Business,MSc,India,Technology,,"trade,remittance",++,1,--,75,study/research,Y,N
211,online,2024,Humanities,3rd,USA,Technology,"ETH,ALT","remittance,trans",+++,1-3,,50,marketing,Y,Y
212,online,2023,Humanities,2nd,USA,Engineering,"BTC,ALT",remittance,++,1-3,,25,friends,N,N
213,online,2023,Business,MSc,USA,Finance,BTC,"remittance,trans",++,1,,25,friends,N,N
214,online,2021,STEM,PhD,Africa,Technology,BTC,"trade,remittance",+++,4-5,-,75,friends,Y,Y
215,online,2022,Humanities,3rd,Turkey,Legal,"BTC,ETH",remittance,++,1-3,,25,marketing,N,N
216,online,2024,STEM,MSc,Europe,Technology,ETH,trade,+++,4-5,,,study/research,Y,Y
217,f2f,2021,STEM,MSc,UK,Engineering,NFT,trade,++,4-5,+++,,study/research,Y,Y
218,f2f,2021,Business,3rd,USA,Public,"BTC,ALT","remittance,trans",+++,1-3,,100,study/research,Y,N
219,online,2021,Business,MSc,Turkey,Finance,,"trade,remittance",+++,1,++,75,family,Y,Y
220,online,2024,STEM,MSc,Europe,Engineering,BTC,trade,+++,,++,,friends,N,Y
221,online,2024,Humanities,3rd,India,Medical,"ETH,NFT,ALT","remittance,trans",+++,4-5,,25,study/research,Y,Y
222,online,2023,STEM,1st,Europe,,"BTC,NFT,DOGE",trade,+,1,++,,study/research,Y,N
223,f2f,2023,STEM,PhD,Europe,Technology,ALT,"remittance,trans",+++,1,,50,study/research,Y,Y
224,online,2022,STEM,MSc,USA,Medical,ALT,"remittance,trans",++,1,,25,study/research,Y,Y
225,online,2025,Business,MSc,USA,Legal,"BTC,ALT","remittance,trans",+++,4-5,,50,marketing,N,Y
226,online,2023,STEM,PhD,South America,Medical,"BTC,ETH,ALT","remittance,trans",++,1-3,,25,family,Y,Y
227,f2f,2020,STEM,3rd,Europe,Technology,"NFT,ALT",remittance,+++,4-5,,50,study/research,N,Y
228,f2f,2021,STEM,MSc,USA,Technology,ALT,"remittance,trans",++,4-5,,50,marketing,Y,N
229,f2f,2024,STEM,MSc,ME,Technology,,"trade,remittance",,1,++,25,study/research,Y,N
230,online,2022,STEM,MSc,China,Technology,"BTC,NFT","trade,remittance",+++,,+,100,marketing,Y,Y
231,online,2022,STEM,MSc,Europe,Technology,ETH,"trade,remittance",+++,1-3,-,100,family,Y,Y
232,online,2024,Humanities,3rd,USA,,"BTC,NFT,DOGE",trade,+,1,--,,marketing,Y,Y
233,online,2023,Business,3rd,Turkey,Retail,BTC,trade,++,1,--,,marketing,N,N
234,online,2021,Business,PhD,Turkey,Engineering,DOGE,"trade,remittance",+++,4-5,,75,family,Y,Y
235,f2f,2021,STEM,3rd,Europe,Retail,"BTC,NFT,DOGE",trade,+,1,++,,friends,Y,Y
236,online,2021,STEM,MSc,China,Medical,BTC,"trade,remittance",+++,1-3,-,75,marketing,N,Y
237,f2f,2023,STEM,3rd,ME,Engineering,"BTC,ETH","trade,remittance,trans",+++,1-3,+,,marketing,Y,Y
238,f2f,2023,Business,MSc,Turkey,Finance,ALT,"remittance,trans",+++,4-5,,50,study/research,Y,Y
239,f2f,2020,Business,MSc,ME,Technology,DOGE,"trade,remittance,trans",+++,1-3,+++,50,family,Y,N
240,f2f,2023,Business,3rd,South America,Technology,ETH,remittance,+++,,,75,family,Y,N
241,online,2024,STEM,MSc,India,Technology,"BTC,ETH","trade,remittance,trans",+++,,-,75,family,Y,Y
242,online,2022,STEM,PhD,Turkey,Medical,"BTC,ETH","trade,remittance",+++,1-3,--,,marketing,Y,Y
243,online,2023,STEM,PhD,South America,Engineering,BTC,"trade,remittance,trans",,1-3,+,,study/research,N,Y
244,online,2024,Business,MSc,USA,Technology,"NFT,ALT","remittance,trans",+++,1,,25,study/research,Y,Y
245,online,2022,Humanities,PhD,India,Technology,"BTC,ETH",remittance,++,1-3,,75,friends,Y,N
246,f2f,2020,Business,3rd,ME,,"ETH,ALT",trade,+,1,-,,marketing,Y,Y
247,f2f,2024,Business,PhD,Turkey,Engineering,BTC,"trade,remittance",+++,1,++,75,family,N,Y
248,online,2021,STEM,PhD,Turkey,Medical,"BTC,ETH","trade,remittance",+++,1,--,,family,Y,Y
249,online,2023,Business,PhD,China,Engineering,NFT,"trade,remittance,trans",++,1-3,-,100,friends,Y,N
250,f2f,2024,Humanities,2nd,Africa,Finance,NFT,trade,+++,1,--,,study/research,Y,N
251,online,2021,Business,1st,USA,Legal,NFT,trade,+,1,--,,friends,N,N
252,online,2021,Business,2nd,Africa,Finance,ETH,trade,++,1,++,,friends,Y,Y
253,online,2021,Business,PhD,South America,Legal,ALT,"remittance,trans",++,1-3,,50,study/research,Y,Y
254,f2f,2020,STEM,PhD,China,Finance,"BTC,DOGE",remittance,+++,1,,75,friends,Y,Y
255,online,2021,STEM,PhD,China,Technology,"BTC,ETH","trade,remittance",+++,1,-,25,marketing,N,Y
256,online,2023,STEM,MSc,Africa,Finance,"BTC,ETH",trade,++,1,,,friends,Y,N
257,f2f,2021,Business,PhD,Europe,Engineering,BTC,trade,+++,1-3,++,,study/research,Y,Y
258,online,2020,STEM,1st,Africa,Technology,"BTC,DOGE",trade,+++,1,--,,marketing,Y,N
259,online,2020,Business,2nd,USA,Finance,"NFT,ALT",remittance,+++,1-3,,75,marketing,N,N
260,online,2023,STEM,MSc,South America,Medical,BTC,remittance,++,,,75,marketing,N,N
261,online,2022,STEM,MSc,India,Medical,"BTC,DOGE",remittance,+,1-3,,25,family,Y,Y
262,f2f,2021,STEM,PhD,Europe,Technology,"BTC,ETH",trade,+++,4-5,+,,study/research,Y,Y
263,online,2021,STEM,MSc,Turkey,Engineering,"BTC,ETH","trade,remittance",+++,1,--,,marketing,Y,Y
